,character_name,star_rarity,region,vision,weapon_type,release_date,model,birthday,limited,ascension_specialty,ascension_boss_material,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_1_20,atk_1_20,def_1_20,ascension_special_stat,special_0,special_6
0,Albedo,5,Mondstadt,Geo,Sword,2020-12-23,Medium Male,13-Sep,True,Cecilia,Basalt Pillar,Tusk of Monoceros Caeli,13226,251,876,1030,20,68,Geo DMG Bonus,0.00%,28.80%
1,Alhaitham,5,Sumeru,Dendro,Sword,2023-01-18,Tall Male,11-Feb,True,Sand Grease Pupa,Pseudo-Stamens,Mirror of Mushin,13348,313,781,1039,24,60,Dendro DMG Bonus,0.00%,28.80%
3,Amber,4,Mondstadt,Pyro,Bow,2020-09-28,Medium Female,10-Aug,False,Small Lamp Grass,Everflame Seed,Dvalin's Sigh,9461,223,601,793,19,50,ATK,0.00%,24.00%
4,Arataki Itto,5,Inazuma,Geo,Claymore,2021-12-14,Tall Male,01-Jun,True,Onikabuto,Riftborn Regalia,Ashen Heart,12858,227,959,1001,18,75,CRIT Rate,0.00%,19.20%
5,Arlecchino,5,Snezhnaya,Pyro,Polearm,2024-04-24,Tall Female,22-Aug,True,Rainbow Rose,Fragment of a Golden Melody,Fading Candle,13103,342,765,1020,27,60,CRIT DMG,0.00%,38.40%
6,Baizhu,5,Liyue,Dendro,Catalyst,2023-05-02,Tall Male,25-Apr,True,Violetgrass,Evergloom Ring,Worldspan Fern,13348,192,499,1039,14,38,HP,0.00%,28.80%
7,Barbara,4,Mondstadt,Hydro,Catalyst,2020-09-28,Medium Female,05-Jul,False,Philanemo Mushroom,Cleansing Heart,Ring of Boreas,9787,159,669,821,13,56,HP,0.00%,24.00%
8,Beidou,4,Liyue,Electro,Claymore,2020-09-28,Tall Female,14-Feb,False,Noctilucous Jade,Lightning Prism,Dvalin's Sigh,13050,225,648,1094,19,54,Electro DMG Bonus,0.00%,24.00%
9,Bennett,4,Mondstadt,Pyro,Sword,2020-09-28,Medium Male,01-Feb,False,Windwheel Aster,Everflame Seed,Dvalin's Plume,12397,191,771,1039,16,65,Energy Recharge,0.00%,26.70%
10,Candace,4,Sumeru,Hydro,Polearm,2022-09-28,Tall Female,03-May,False,Redcrest,Light Guiding Tetrahedron,Tears of the Calamitous God,10874,212,682,911,17,57,HP,0.00%,24.00%
11,Charlotte,4,Fontaine,Cryo,Catalyst,2023-11-08,Medium Female,10-Apr,False,Beryl Conch,"""Tourbillon Device""",Lightless Silk String,10766,173,546,902,14,45,ATK,0.00%,24.00%
12,Chevreuse,4,Fontaine,Pyro,Polearm,2024-01-09,Medium Female,10-Jan,False,Lumidouce Bell,Fontemer Unihorn,Lightless Eye of the Maelstrom,11962,193,605,1003,16,51,HP,0.00%,24.00%
13,Chiori,5,Inazuma,Geo,Sword,2024-03-13,Medium Female,17-Aug,True,Dendrobium,Artificed Spare Clockwork Component — Coppelia,Lightless Silk String,11438,323,953,890,25,74,CRIT Rate,0.00%,19.20%
14,Chongyun,4,Liyue,Cryo,Claymore,2020-09-28,Medium Male,07-Sep,False,Cor Lapis,Hoarfrost Core,Dvalin's Sigh,10984,223,648,1003,19,54,ATK,0.00%,24.00%
15,Clorinde,5,Fontaine,Electro,Sword,2024-06-05,Tall Female,20-Sep,True,Lumitoile,Fontemer Unihorn,Everamber,12956,337,784,1009,26,61,CRIT Rate,0.00%,19.20%
16,Collei,4,Sumeru,Dendro,Bow,2022-08-24,Medium Female,08-May,False,Rukkhashava Mushrooms,Majestic Hooked Beak,Tears of the Calamitous God,9787,199,600,820,16,50,ATK,0.00%,24.00%
17,Cyno,5,Sumeru,Electro,Polearm,2022-09-28,Medium Male,23-Jun,True,Scarab,Thunderclap Fruitcore,Mudra of the Malefic General,12490,318,859,972,21,66,CRIT DMG,0.00%,38.40%
18,Dehya,5,Sumeru,Pyro,Claymore,2023-03-01,Tall Female,07-Apr,False,Sand Grease Pupa,Light Guiding Tetrahedron,Puppet Strings,15674,265,627,1220,20,48,HP,0.00%,28.80%
19,Diluc,5,Mondstadt,Pyro,Claymore,2020-09-28,Tall Male,30-Apr,False,Small Lamp Grass,Everflame Seed,Dvalin's Plume,12981,335,784,1011,26,61,CRIT Rate,0.00%,19.20%
20,Diona,4,Mondstadt,Cryo,Bow,2020-11-11,Short Female,18-Jan,False,Calla Lily,Hoarfrost Core,Shard of a Foul Legacy,9570,212,601,802,18,50,Cryo DMG Bonus,0.00%,24.00%
21,Dori,4,Sumeru,Electro,Claymore,2022-09-09,Short Female,21-Dec,False,Kalpalata Lotus,Thunderclap Fruitcore,Bloodjade Branch,12397,223,723,1039,18,60,HP,0.00%,24.00%
22,Emilie,5,Fontaine,Dendro,Polearm,2024-08-06,Medium Female,22-Sep,True,Lakelight Lily,Fragment of a Golden Melody,Silken Feather,13568,335,730,1056,26,57,CRIT DMG,0.00%,38.40%
